Eu, como;Quando;Desejo;Para que
📦 Almoxarife;logado;sair da minha conta;
📦 Almoxarife;logado;visualizar o estoque atual de todos os insumos com separação entre disponível e reservado;tenha controle preciso sobre a disponibilidade e as reservas de peças e materiais
📦 Almoxarife;logado;registrar a entrada de insumos no estoque;o sistema reflita as quantidades corretas na seção de disponível após o recebimento de uma compra
📦 Almoxarife;logado;criar um pedido de compra para um fornecedor;reabasteça o estoque de insumos abaixo do nível mínimo
📦 Almoxarife;logado;visualizar os pedidos de compra em aberto;acompanhe o status das reposições solicitadas
📦 Almoxarife;logado;confirmar o recebimento de um pedido de compra;o estoque seja atualizado na seção de disponível e o pedido encerrado
📦 Almoxarife;logado;confirmar o consumo real de insumos reservados de uma OS;registrar que os insumos foram de fato utilizados
👤 Cliente;com uma OS em andamento;consultar o status atual da minha OS;acompanhe o progresso do serviço sem precisar ligar para a oficina
👤 Cliente;com um orçamento pendente;aprovar o orçamento enviado pela oficina;autorize a execução dos serviços e/ou reparos adicionais identificados
👤 Cliente;com um orçamento pendente;recusar o orçamento enviado pela oficina;a oficina seja informada da minha decisão e o serviço não prossiga
👤 Cliente;com um orçamento pendente;recusar o alguns serviços do orçamento enviado pela oficina;a oficina seja informada da minha decisão e o orçamento seja reenviado sem esses serviços
